id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
afghanistan-international-ngo-country-offices-in-afghanistan-ingo-country-offices,International NGO country offices in Afghanistan,https://www.google.com/search?q=%22Afghanistan%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Afghanistan,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Afghanistan"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
afghanistan-donors-bilateral-agencies-contractors-and-development-programmes-in-afghanista,"Donors, bilateral agencies, contractors and development programmes in Afghanistan",https://www.google.com/search?q=%22Afghanistan%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Afghanistan,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Afghanistan"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-albania-public-service-commission-civil-service-commission-civil-service-agency-pu,Albania Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Albania%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Albania,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Albania"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-albania-ministry-responsible-for-labour-employment-manpower-social-protection-or-w,"Albania ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Albania%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Albania,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Albania"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-albania-national-universities-and-public-research-institutions-career-pages-nation,Albania national universities and public research institutions career pages,https://www.google.com/search?q=%22Albania%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Albania,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Albania"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-embassies-high-commissions-and-foreign-missions-in-albania-embassies-and-high-comm,"Embassies, high commissions and foreign missions in Albania",https://www.google.com/search?q=%22Albania%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Albania,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Albania"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-united-nations-in-albania-un-country-team-un-agency-country-offices-un-country-tea,United Nations in Albania / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Albania%22+OR+%22UN+Country+Team+Albania%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Albania,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Albania"" OR ""UN Country Team Albania"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-international-ngo-country-offices-in-albania-ingo-country-offices,International NGO country offices in Albania,https://www.google.com/search?q=%22Albania%22+%28%22Save+the+Children%22+OR+%22World+Vision%22+OR+IRC+OR+CARE+OR+%22Plan+International%22+OR+Oxfam+OR+%22Danish+Refugee+Council%22+OR+%22Norwegian+Refugee+Council%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultancy%29,INGO country offices,"NGO jobs, humanitarian roles, development roles, consultancies, internships",Albania,INGO country offices,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Albania"" (""Save the Children"" OR ""World Vision"" OR IRC OR CARE OR ""Plan International"" OR Oxfam OR ""Danish Refugee Council"" OR ""Norwegian Refugee Council"") (jobs OR vacancies OR careers OR consultancy). Core INGOs to check: Save the Children, World Vision, IRC, CARE, Plan, Oxfam, DRC, NRC, CRS, Mercy Corps, MSF, ActionAid, WaterAid. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
albania-donors-bilateral-agencies-contractors-and-development-programmes-in-albania-donors,"Donors, bilateral agencies, contractors and development programmes in Albania",https://www.google.com/search?q=%22Albania%22+%28USAID+OR+FCDO+OR+GIZ+OR+Enabel+OR+JICA+OR+%22EU+Delegation%22+OR+%22World+Bank%22+OR+%22African+Development+Bank%22+OR+%22Asian+Development+Bank%22%29+%28jobs+OR+vacancies+OR+careers+OR+consultants+OR+procurement%29,"Donors, contractors and development agencies","Donor programme jobs, project jobs, consultancies, RFPs, grants, internships",Albania,"Donors, contractors and development agencies",Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Albania"" (USAID OR FCDO OR GIZ OR Enabel OR JICA OR ""EU Delegation"" OR ""World Bank"" OR ""African Development Bank"" OR ""Asian Development Bank"") (jobs OR vacancies OR careers OR consultants OR procurement). Check USAID, FCDO/British Embassy, GIZ, EU Delegation, Enabel, JICA, World Bank, regional development banks and their contractors. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
algeria-algeria-public-service-commission-civil-service-commission-civil-service-agency-pu,Algeria Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Algeria%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Algeria,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Algeria"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
algeria-algeria-ministry-responsible-for-labour-employment-manpower-social-protection-or-w,"Algeria ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Algeria%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Algeria,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Algeria"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
